@relation 'travel-weka.filters.unsupervised.attribute.Remove-R3-4,7-weka.filters.unsupervised.attribute.Remove-R1,7'

@attribute HolidayType {Bathing,Active,Education,City,Recreation,Wandering,Language,Skiing}
@attribute Region {Egypt,Cairo,Belgium,Bulgaria,Bornholm,Fano,Lolland,Allgaeu,Alps,Bavaria,ErzGebirge,Harz,NorthSea,BalticSea,BlackForest,Thuringia,Atlantic,CotedAzur,Corsica,Normandy,Brittany,Attica,Chalkidiki,Corfu,Crete,Rhodes,England,Ireland,Scotland,Wales,Holland,AdriaticSea,LakeGarda,Riviera,Tyrol,Malta,Carinthia,SalzbergerLand,Styria,Algarve,Madeira,Sweden,CostaBlanca,CostaBrava,Fuerteventura,GranCanaria,Ibiza,Mallorca,Teneriffe,GiantMountains,TurkishAegeanSea,TurkishRiviera,Tunisia,Balaton,Denmark,Poland,Slowakei,Czechia,France}
@attribute Transportation {Plane,Car,Train,Coach}
@attribute Season {April,May,June,July,September,October,August,November,December,February,March,January}
@attribute Accommodation {TwoStars,ThreeStars,FourStars,FiveStars,HolidayFlat,OneStar}

@data
Wandering,Alps,Car,July,HolidayFlat
Wandering,Alps,Car,August,HolidayFlat
Wandering,Alps,Car,September,HolidayFlat
Wandering,Alps,Car,June,HolidayFlat
Wandering,Alps,Car,May,HolidayFlat
Wandering,Alps,Car,July,HolidayFlat
Recreation,Alps,Car,May,HolidayFlat
Recreation,Alps,Car,June,HolidayFlat
Recreation,Alps,Car,July,HolidayFlat
Recreation,Alps,Car,August,HolidayFlat
Recreation,Alps,Car,September,HolidayFlat
Recreation,Alps,Car,June,HolidayFlat
Recreation,Alps,Car,July,HolidayFlat
Recreation,Alps,Car,August,HolidayFlat
Bathing,CostaBlanca,Car,August,TwoStars
Bathing,CostaBlanca,Car,July,ThreeStars
Bathing,CostaBlanca,Car,August,FourStars
Bathing,CostaBlanca,Car,July,FourStars
Recreation,CostaBlanca,Car,May,HolidayFlat
Recreation,CostaBlanca,Car,June,HolidayFlat
Active,CostaBlanca,Car,July,HolidayFlat
Active,CostaBlanca,Car,September,HolidayFlat
Bathing,CostaBlanca,Car,June,HolidayFlat
Bathing,CostaBlanca,Car,July,HolidayFlat
Bathing,CostaBlanca,Car,August,HolidayFlat
Bathing,CostaBlanca,Car,September,HolidayFlat
Bathing,CostaBlanca,Car,July,HolidayFlat
Bathing,CostaBlanca,Car,August,HolidayFlat
Bathing,CostaBlanca,Car,June,HolidayFlat
Bathing,CostaBlanca,Car,July,HolidayFlat
Bathing,CostaBlanca,Car,September,HolidayFlat
Bathing,CostaBrava,Car,June,TwoStars
Bathing,CostaBrava,Car,July,TwoStars
Active,CostaBrava,Car,August,TwoStars
Recreation,CostaBrava,Car,September,TwoStars
Bathing,CostaBrava,Car,June,ThreeStars
Bathing,CostaBrava,Car,August,ThreeStars
Bathing,CostaBrava,Car,July,ThreeStars
Bathing,CostaBrava,Car,July,ThreeStars
Active,CostaBrava,Car,June,ThreeStars
Recreation,CostaBrava,Car,May,ThreeStars
Bathing,CostaBrava,Car,July,FourStars
Bathing,CostaBrava,Car,June,FourStars
Bathing,CostaBrava,Car,August,FourStars
Active,CostaBrava,Car,September,FourStars
Recreation,CostaBrava,Car,July,FourStars
Bathing,Fuerteventura,Plane,May,ThreeStars
Bathing,Fuerteventura,Plane,June,ThreeStars
Bathing,Fuerteventura,Plane,July,ThreeStars
Bathing,Fuerteventura,Plane,August,ThreeStars
Active,Fuerteventura,Plane,September,ThreeStars
Active,Fuerteventura,Plane,July,ThreeStars
Active,Fuerteventura,Plane,August,ThreeStars
Recreation,Fuerteventura,Plane,June,ThreeStars
Bathing,Fuerteventura,Plane,June,FourStars
Bathing,Fuerteventura,Plane,July,FourStars
Bathing,Fuerteventura,Plane,August,FourStars
Bathing,Fuerteventura,Plane,June,FourStars
Active,Fuerteventura,Plane,September,FourStars
Active,Fuerteventura,Plane,July,FourStars
Recreation,Fuerteventura,Plane,May,FourStars
Bathing,GranCanaria,Plane,May,TwoStars
Bathing,GranCanaria,Plane,July,TwoStars
Bathing,GranCanaria,Plane,September,TwoStars
Active,GranCanaria,Plane,August,TwoStars
Bathing,GranCanaria,Plane,May,ThreeStars
Bathing,GranCanaria,Plane,June,ThreeStars
Bathing,GranCanaria,Plane,July,ThreeStars
Active,GranCanaria,Plane,August,ThreeStars
Active,GranCanaria,Plane,September,ThreeStars
Recreation,GranCanaria,Plane,August,ThreeStars
Bathing,GranCanaria,Plane,June,FourStars
Bathing,GranCanaria,Plane,July,FourStars
Bathing,GranCanaria,Plane,September,FourStars
Active,GranCanaria,Plane,May,FourStars
Active,GranCanaria,Plane,August,FourStars
Bathing,Ibiza,Plane,June,TwoStars
Bathing,Ibiza,Plane,September,TwoStars
Bathing,Ibiza,Plane,July,TwoStars
Active,Ibiza,Plane,August,TwoStars
Active,Ibiza,Plane,July,TwoStars
Bathing,Ibiza,Plane,June,ThreeStars
Bathing,Ibiza,Plane,July,ThreeStars
Bathing,Ibiza,Plane,May,ThreeStars
Bathing,Ibiza,Plane,August,ThreeStars
Bathing,Ibiza,Plane,June,ThreeStars
Active,Ibiza,Plane,July,ThreeStars
Active,Ibiza,Plane,September,ThreeStars
Bathing,Ibiza,Plane,June,FourStars
Bathing,Ibiza,Plane,July,FourStars
Active,Ibiza,Plane,August,FourStars
Bathing,Mallorca,Plane,June,OneStar
Bathing,Mallorca,Plane,July,OneStar
Bathing,Mallorca,Plane,September,OneStar
Bathing,Mallorca,Plane,June,TwoStars
Bathing,Mallorca,Plane,August,TwoStars
Recreation,Mallorca,Plane,May,TwoStars
Active,Mallorca,Plane,June,TwoStars
Wandering,Mallorca,Plane,September,TwoStars
Bathing,Mallorca,Plane,June,ThreeStars
Bathing,Mallorca,Plane,July,ThreeStars
Bathing,Mallorca,Plane,August,ThreeStars
Bathing,Mallorca,Plane,July,ThreeStars
Bathing,Mallorca,Plane,August,ThreeStars
Bathing,Mallorca,Plane,September,ThreeStars
Active,Mallorca,Plane,May,ThreeStars
Bathing,Mallorca,Plane,June,FourStars
Bathing,Mallorca,Plane,July,FourStars
Bathing,Mallorca,Plane,August,FourStars
Active,Mallorca,Plane,June,FourStars
Active,Mallorca,Plane,September,FourStars
Bathing,Teneriffe,Plane,June,TwoStars
Bathing,Teneriffe,Plane,September,TwoStars
Bathing,Teneriffe,Plane,July,ThreeStars
Bathing,Teneriffe,Plane,August,ThreeStars
Bathing,Teneriffe,Plane,June,ThreeStars
Bathing,Teneriffe,Plane,August,ThreeStars
Bathing,Teneriffe,Plane,July,ThreeStars
Bathing,Teneriffe,Plane,May,ThreeStars
Active,Teneriffe,Plane,June,ThreeStars
Recreation,Teneriffe,Plane,October,ThreeStars
Bathing,Teneriffe,Plane,August,FourStars
Bathing,Teneriffe,Plane,July,FourStars
Bathing,Teneriffe,Plane,June,FourStars
Active,Teneriffe,Plane,August,FourStars
Active,Teneriffe,Plane,May,FourStars
Wandering,GiantMountains,Car,May,TwoStars
Wandering,GiantMountains,Car,June,TwoStars
Wandering,GiantMountains,Car,July,TwoStars
Wandering,GiantMountains,Car,August,TwoStars
Wandering,GiantMountains,Car,September,TwoStars
Recreation,GiantMountains,Car,August,TwoStars
Recreation,GiantMountains,Car,July,TwoStars
Recreation,GiantMountains,Car,June,ThreeStars
Recreation,GiantMountains,Car,May,ThreeStars
Wandering,GiantMountains,Car,June,ThreeStars
Wandering,GiantMountains,Car,September,ThreeStars
Wandering,GiantMountains,Coach,May,TwoStars
Recreation,GiantMountains,Coach,June,TwoStars
Recreation,GiantMountains,Train,August,ThreeStars
Wandering,GiantMountains,Train,September,ThreeStars
Bathing,TurkishAegeanSea,Plane,June,TwoStars
Bathing,TurkishAegeanSea,Plane,July,TwoStars
Bathing,TurkishAegeanSea,Plane,August,ThreeStars
Active,TurkishAegeanSea,Plane,September,ThreeStars
Active,TurkishAegeanSea,Plane,July,ThreeStars
Bathing,TurkishAegeanSea,Plane,August,ThreeStars
Education,TurkishAegeanSea,Plane,May,FourStars
Bathing,TurkishAegeanSea,Plane,June,TwoStars
Bathing,TurkishAegeanSea,Plane,July,ThreeStars
Bathing,TurkishAegeanSea,Plane,August,ThreeStars
Bathing,TurkishAegeanSea,Plane,September,ThreeStars
Education,TurkishAegeanSea,Plane,May,ThreeStars
Bathing,TurkishAegeanSea,Plane,August,FourStars
Bathing,TurkishAegeanSea,Plane,July,FourStars
Active,TurkishAegeanSea,Plane,June,FourStars
Bathing,TurkishRiviera,Plane,June,TwoStars
Bathing,TurkishRiviera,Plane,July,TwoStars
Active,TurkishRiviera,Plane,September,TwoStars
Bathing,TurkishRiviera,Plane,August,ThreeStars
Bathing,TurkishRiviera,Plane,July,ThreeStars
Bathing,TurkishRiviera,Plane,June,ThreeStars
Bathing,TurkishRiviera,Plane,August,ThreeStars
Bathing,TurkishRiviera,Plane,June,ThreeStars
Active,TurkishRiviera,Plane,September,ThreeStars
Education,TurkishRiviera,Plane,May,ThreeStars
Bathing,TurkishRiviera,Plane,June,FourStars
Bathing,TurkishRiviera,Plane,July,FourStars
Bathing,TurkishRiviera,Plane,September,FourStars
Active,TurkishRiviera,Plane,May,FourStars
Education,TurkishRiviera,Plane,October,FourStars
Bathing,Tunisia,Plane,July,TwoStars
Bathing,Tunisia,Plane,June,TwoStars
Recreation,Tunisia,Plane,May,TwoStars
Active,Tunisia,Plane,September,TwoStars
Bathing,Tunisia,Plane,June,ThreeStars
Bathing,Tunisia,Plane,July,ThreeStars
Bathing,Tunisia,Plane,August,ThreeStars
Recreation,Tunisia,Plane,June,ThreeStars
Recreation,Tunisia,Plane,May,ThreeStars
Active,Tunisia,Plane,September,ThreeStars
Bathing,Tunisia,Plane,June,FourStars
Bathing,Tunisia,Plane,July,FourStars
Recreation,Tunisia,Plane,May,FourStars
Bathing,Tunisia,Plane,June,FourStars
Active,Tunisia,Plane,August,FourStars
Active,Tunisia,Plane,September,FourStars
Bathing,Balaton,Car,July,ThreeStars
Bathing,Balaton,Car,August,ThreeStars
Bathing,Balaton,Car,July,FourStars
Recreation,Balaton,Car,June,FourStars
Bathing,Balaton,Car,June,HolidayFlat
Bathing,Balaton,Car,July,HolidayFlat
Bathing,Balaton,Car,August,HolidayFlat
Recreation,Balaton,Car,May,HolidayFlat
Recreation,Balaton,Car,June,HolidayFlat
Active,Balaton,Car,September,HolidayFlat
Recreation,Belgium,Car,November,HolidayFlat
Recreation,Belgium,Car,December,HolidayFlat
Recreation,Belgium,Car,February,HolidayFlat
Active,Belgium,Car,November,HolidayFlat
Active,Belgium,Car,March,HolidayFlat
Recreation,Belgium,Car,November,HolidayFlat
Active,Belgium,Car,January,HolidayFlat
Recreation,Belgium,Car,November,HolidayFlat
Active,Belgium,Car,December,HolidayFlat
Recreation,Belgium,Car,January,HolidayFlat
Active,Belgium,Car,December,HolidayFlat
Recreation,Belgium,Car,February,HolidayFlat
Active,Belgium,Car,November,HolidayFlat
Recreation,Belgium,Car,February,HolidayFlat
Recreation,Belgium,Car,January,HolidayFlat
Active,Belgium,Car,February,HolidayFlat
Active,Belgium,Car,December,HolidayFlat
Recreation,Belgium,Car,March,HolidayFlat
Active,Belgium,Car,November,HolidayFlat
Recreation,Belgium,Car,March,HolidayFlat
Recreation,Denmark,Car,November,HolidayFlat
Recreation,Denmark,Car,December,HolidayFlat
Active,Denmark,Car,January,HolidayFlat
Recreation,Denmark,Car,February,HolidayFlat
Active,Denmark,Car,March,HolidayFlat
Active,Denmark,Car,November,HolidayFlat
Recreation,Denmark,Car,February,HolidayFlat
Active,Denmark,Car,January,HolidayFlat
Recreation,Denmark,Car,March,HolidayFlat
Active,Denmark,Car,February,HolidayFlat
Recreation,Denmark,Car,January,HolidayFlat
Recreation,Denmark,Car,February,HolidayFlat
Active,Denmark,Car,March,HolidayFlat
Recreation,Fano,Car,January,HolidayFlat
Active,Fano,Car,March,HolidayFlat
Recreation,Holland,Car,November,HolidayFlat
Recreation,Holland,Car,December,HolidayFlat
Active,Holland,Car,February,HolidayFlat
Recreation,Holland,Car,January,HolidayFlat
Active,Holland,Car,November,HolidayFlat
Active,Poland,Car,January,ThreeStars
Skiing,Poland,Car,February,ThreeStars
Recreation,Poland,Car,February,ThreeStars
Active,Poland,Car,January,TwoStars
Skiing,Poland,Car,February,TwoStars
Recreation,Poland,Car,March,TwoStars
Active,Poland,Car,January,TwoStars
Skiing,Poland,Car,February,TwoStars
Recreation,Poland,Car,March,TwoStars
Active,Poland,Car,January,TwoStars
Skiing,Poland,Car,February,TwoStars
Recreation,Poland,Car,February,TwoStars
Active,Poland,Car,February,TwoStars
Skiing,Poland,Car,March,TwoStars
Recreation,Poland,Car,January,TwoStars
Active,Slowakei,Car,January,TwoStars
Skiing,Slowakei,Car,February,TwoStars
Active,Slowakei,Car,February,ThreeStars
Skiing,Slowakei,Car,March,ThreeStars
Skiing,Slowakei,Car,January,ThreeStars
Recreation,Slowakei,Car,February,ThreeStars
Active,Slowakei,Car,February,ThreeStars
Skiing,Slowakei,Car,March,ThreeStars
Skiing,Slowakei,Car,January,ThreeStars
Active,Slowakei,Car,February,ThreeStars
Active,Slowakei,Car,February,ThreeStars
Recreation,Slowakei,Car,March,ThreeStars
Skiing,Slowakei,Car,March,TwoStars
Recreation,Slowakei,Car,February,TwoStars
Active,Slowakei,Car,February,TwoStars
Skiing,Slowakei,Car,January,TwoStars
Active,Slowakei,Car,January,TwoStars
Skiing,Slowakei,Car,February,TwoStars
Skiing,Slowakei,Car,February,OneStar
Skiing,Slowakei,Car,March,OneStar
Skiing,Czechia,Car,January,ThreeStars
Skiing,Czechia,Car,February,ThreeStars
Active,Czechia,Car,March,ThreeStars
Skiing,Czechia,Car,January,ThreeStars
Active,Czechia,Car,February,ThreeStars
Skiing,Czechia,Car,February,ThreeStars
Skiing,Czechia,Car,March,ThreeStars
Recreation,Czechia,Car,January,ThreeStars
Skiing,Czechia,Car,February,TwoStars
Active,Czechia,Car,March,TwoStars
Skiing,Czechia,Car,February,OneStar
Active,Czechia,Car,January,OneStar
Skiing,Czechia,Car,March,TwoStars
Skiing,Czechia,Car,February,TwoStars
Active,Czechia,Car,January,OneStar
Recreation,Czechia,Car,February,OneStar
Skiing,Czechia,Car,March,OneStar
Recreation,Czechia,Car,February,OneStar
Active,Czechia,Car,January,OneStar
Skiing,Czechia,Car,February,OneStar
Skiing,Czechia,Car,March,HolidayFlat
Skiing,Czechia,Car,February,HolidayFlat
Skiing,Czechia,Car,January,HolidayFlat
Active,Czechia,Car,March,HolidayFlat
Active,Czechia,Car,February,HolidayFlat
Active,Allgaeu,Car,December,FiveStars
Skiing,Allgaeu,Car,January,FiveStars
Recreation,Allgaeu,Car,February,FiveStars
Active,Allgaeu,Car,March,ThreeStars
Skiing,Allgaeu,Car,February,ThreeStars
Skiing,Allgaeu,Car,January,ThreeStars
Active,Allgaeu,Car,December,FiveStars
Skiing,Allgaeu,Car,January,FiveStars
Recreation,Allgaeu,Car,February,FiveStars
Active,Allgaeu,Car,March,TwoStars
Skiing,Allgaeu,Car,February,TwoStars
Recreation,Allgaeu,Car,January,TwoStars
Skiing,Allgaeu,Car,December,HolidayFlat
Active,Allgaeu,Car,January,HolidayFlat
Skiing,Allgaeu,Car,February,HolidayFlat
Skiing,Allgaeu,Car,March,HolidayFlat
Recreation,Allgaeu,Car,February,HolidayFlat
Active,Allgaeu,Car,January,HolidayFlat
Skiing,Allgaeu,Car,December,HolidayFlat
Skiing,Allgaeu,Car,January,HolidayFlat
Recreation,Allgaeu,Car,February,HolidayFlat
Skiing,Allgaeu,Car,March,HolidayFlat
Active,Allgaeu,Car,February,HolidayFlat
Recreation,Allgaeu,Car,January,HolidayFlat
Recreation,Allgaeu,Car,December,HolidayFlat
Active,Bavaria,Car,December,ThreeStars
Skiing,Bavaria,Car,January,ThreeStars
Skiing,Bavaria,Car,February,ThreeStars
Active,Bavaria,Car,December,FourStars
Skiing,Bavaria,Car,January,FourStars
Recreation,Bavaria,Car,February,ThreeStars
Active,Bavaria,Car,December,ThreeStars
Active,Bavaria,Car,January,FourStars
Skiing,Bavaria,Car,February,FourStars
Active,Bavaria,Car,February,FourStars
Skiing,Bavaria,Car,March,FourStars
Active,Bavaria,Car,January,TwoStars
Recreation,Bavaria,Car,February,TwoStars
Active,Bavaria,Car,January,HolidayFlat
Skiing,Bavaria,Car,February,HolidayFlat
Active,Bavaria,Car,December,HolidayFlat
Recreation,Bavaria,Car,February,HolidayFlat
Skiing,Bavaria,Car,January,HolidayFlat
Skiing,Bavaria,Car,February,HolidayFlat
Active,Bavaria,Car,January,HolidayFlat
Recreation,Bavaria,Car,February,HolidayFlat
Active,Bavaria,Car,January,HolidayFlat
Skiing,Bavaria,Car,March,HolidayFlat
Recreation,Bavaria,Car,January,HolidayFlat
Active,Bavaria,Car,February,HolidayFlat
Recreation,ErzGebirge,Car,December,ThreeStars
Skiing,ErzGebirge,Car,January,ThreeStars
Recreation,ErzGebirge,Car,February,ThreeStars
Skiing,ErzGebirge,Car,March,ThreeStars
Active,ErzGebirge,Car,February,ThreeStars
Skiing,ErzGebirge,Car,December,ThreeStars
Recreation,ErzGebirge,Car,January,ThreeStars
Active,ErzGebirge,Car,February,ThreeStars
Recreation,ErzGebirge,Car,March,ThreeStars
Recreation,ErzGebirge,Car,February,ThreeStars
Skiing,ErzGebirge,Car,December,ThreeStars
Recreation,ErzGebirge,Car,January,ThreeStars
Active,ErzGebirge,Car,January,ThreeStars
Recreation,ErzGebirge,Car,March,ThreeStars
Recreation,ErzGebirge,Car,February,ThreeStars
Recreation,ErzGebirge,Car,December,HolidayFlat
Recreation,ErzGebirge,Car,January,HolidayFlat
Active,ErzGebirge,Car,March,HolidayFlat
Active,ErzGebirge,Car,February,HolidayFlat
Skiing,ErzGebirge,Car,February,HolidayFlat
Recreation,Harz,Car,December,ThreeStars
Recreation,Harz,Car,January,ThreeStars
Wandering,Harz,Car,February,ThreeStars
Skiing,Harz,Car,March,ThreeStars
Recreation,Harz,Car,December,ThreeStars
Recreation,Harz,Car,January,ThreeStars
Wandering,Harz,Car,February,ThreeStars
Active,Harz,Car,March,ThreeStars
Recreation,Harz,Car,December,TwoStars
Wandering,Harz,Car,January,TwoStars
Skiing,Harz,Car,February,TwoStars
Recreation,Harz,Car,December,TwoStars
Recreation,Harz,Car,January,TwoStars
Skiing,Harz,Car,February,TwoStars
Wandering,Harz,Car,November,HolidayFlat
Recreation,Harz,Car,January,HolidayFlat
Recreation,Harz,Car,February,HolidayFlat
Wandering,Harz,Car,December,HolidayFlat
Skiing,Harz,Car,December,HolidayFlat
Skiing,Harz,Car,February,HolidayFlat
Wandering,BlackForest,Car,December,TwoStars
Active,BlackForest,Car,January,TwoStars
Skiing,BlackForest,Car,February,FourStars
Wandering,BlackForest,Car,March,FourStars
Recreation,BlackForest,Car,February,ThreeStars
Wandering,BlackForest,Car,January,ThreeStars
Recreation,BlackForest,Car,December,ThreeStars
Skiing,BlackForest,Car,February,ThreeStars
Active,BlackForest,Car,January,ThreeStars
Recreation,BlackForest,Car,February,ThreeStars
Wandering,BlackForest,Car,March,TwoStars
Skiing,BlackForest,Car,February,TwoStars
Recreation,BlackForest,Car,January,TwoStars
Wandering,BlackForest,Car,December,TwoStars
Active,BlackForest,Car,January,HolidayFlat
Active,BlackForest,Car,February,HolidayFlat
Recreation,BlackForest,Car,March,HolidayFlat
Recreation,BlackForest,Car,February,HolidayFlat
Skiing,BlackForest,Car,January,HolidayFlat
Recreation,BlackForest,Car,December,HolidayFlat
Recreation,BlackForest,Car,January,HolidayFlat
Skiing,BlackForest,Car,February,HolidayFlat
Wandering,BlackForest,Car,March,HolidayFlat
Recreation,BlackForest,Car,February,HolidayFlat
Wandering,BlackForest,Car,January,HolidayFlat
Wandering,Thuringia,Car,December,ThreeStars
Recreation,Thuringia,Car,January,ThreeStars
Active,Thuringia,Car,February,ThreeStars
Wandering,Thuringia,Car,March,ThreeStars
Wandering,Thuringia,Car,February,TwoStars
Skiing,Thuringia,Car,January,TwoStars
Recreation,Thuringia,Car,December,ThreeStars
Wandering,Thuringia,Car,November,ThreeStars
Wandering,Thuringia,Car,January,FourStars
Recreation,Thuringia,Car,March,FourStars
Skiing,Thuringia,Car,February,FourStars
Wandering,Thuringia,Car,January,TwoStars
Recreation,Thuringia,Car,December,TwoStars
Active,Thuringia,Car,February,TwoStars
Wandering,Thuringia,Car,March,TwoStars
Wandering,Thuringia,Car,February,HolidayFlat
Wandering,Thuringia,Car,March,HolidayFlat
Recreation,Thuringia,Car,January,HolidayFlat
Active,Thuringia,Car,December,HolidayFlat
Skiing,Thuringia,Car,February,HolidayFlat
Wandering,Thuringia,Car,March,HolidayFlat
Wandering,Thuringia,Car,January,HolidayFlat
Recreation,Thuringia,Car,December,HolidayFlat
Active,Thuringia,Car,January,HolidayFlat
Skiing,Thuringia,Car,February,HolidayFlat
Active,France,Car,December,HolidayFlat
Skiing,France,Car,January,HolidayFlat
Recreation,France,Car,February,HolidayFlat
Active,France,Car,March,HolidayFlat
Skiing,France,Car,February,HolidayFlat
Recreation,France,Car,January,HolidayFlat
Active,France,Car,December,HolidayFlat
Skiing,France,Car,January,HolidayFlat
Recreation,France,Car,February,HolidayFlat
Active,France,Car,March,HolidayFlat
Skiing,France,Car,February,HolidayFlat
Recreation,France,Car,January,HolidayFlat
Active,France,Car,December,HolidayFlat
Skiing,France,Car,January,HolidayFlat
Recreation,France,Car,February,HolidayFlat
